description,name,image,number
Unfettered transitional styling creates a unique offering for your bedroom in the Leavitt Collection. The framing of the case goods and bed lend an air of understated sophistication that is enhanced by the antiqued bronze pull hardware and brown cherry finish that graces the mindy veneer of the collection.,Leavitt Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1990-1__11-750x500.jpg,1990
Industrial design is subtly used to achieve a cool look for your bedroom in the Woodrow Collection. Dark metal hardware and corner banding with rivet look lend to the casual look of this bedroom group. Melamine laminate features a weathered-wood look that furthers the intended design. Black bi-cast vinyl accents of the headboard provides distinct complementing contrast to the finish of the collection.,Woodrow Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2042-1-750x500.jpg,2042
"Black metal framing provides classic contrast to the brown fabric inserts on the headboard and footboard of the Tayton Collection. Quatrefoil accenting, prominent jointing and nail head embellishment further the traditional look of the bed.",Tayton Collection ,https://www.homelegance.com/wp-content/uploads/2017/04/2867-1__1-750x500.jpg,2867
Modern styling combined with the look of tailored menswear creates a uniquely appointed offering for your bedroom in the Elista Collection. Dark gray tweed fabric is interwoven to create eye-catching drama on the headboard and footboard. The collection also features a coordinating bench and stool.,Elista Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5873N-1__1-750x500.jpg,5873N
"Imagine the mansion style headboard of the Jervis Collection serving as the focal point in your glamorous bedroom. Covered in a deep gray tone fabric for a versatile personal decorative touch, while button tufting and nail head accent lend sophisticated elegance to the refined shape of the headboard.",Jervis Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5872N-1__1-750x500.jpg,5872N
"Classic framing provides elegant contrast to the unique rustic look of the Toulon Collection. Wire-brushed distressing provides texture to the acacia veneer of this lovely bedroom suite. The functional drawers of the footboard allow for additional storage. The French provincial inspired routing lends decorative touch to each piece, while dual drawer and door storage are accented with wide set horizontal metal and wood hardware providing ample space to store your personal possessions.",Toulon Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5438-1__1-750x500.jpg,5438
"Whether your home leans to transitional or contemporary design, the Sedley Collection will be the perfect fit for your bedroom. From the distinct walnut veneer pattern â with walnut finish - to the unique cut-away design and horizontal metal hardware of the case goods, each design component lends to placement in a variety of bedroom spaces. The dark brown tone of the inset headboard fabric compliments the finish of the group.",Sedley Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5415RF-1__1-750x500.jpg,5415RF
"Transitionally styled with a burnished brown finish, the Schleiger Collection features bold accenting that lends to a rustic industrial interpretation. Substantial framing provides a masculine profile while decorative metal and rivet banding on each piece of the group furthers the look. Each case piece features metal horizontal hardware.",Schleiger Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5400-1__1-750x500.jpg,5400
"An updated classic addition to your transitional bedroom will be the Bethel Collection. Traditional accents, such as, turned bun feet that support each piece, and a gray, lightly wire-brushed finish on birch veneer and selected hardwoods, blend with framing and lines that compliment your personal style. Hidden drawer storages in the night stand and dresser are a clever way to hide your valuables.",Bethel Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2259GY-1__1-750x500.jpg,2259GY
"Transitionally styled for your bedroom is the Garcia Collection. Created for versatile placement within a number of environments the louvered panel accents, distinct framing along with a cool gray finish over birch veneer combine to provide a clean palate for your personal decorative style. Nickel knob hardware provides subtle, yet distinct, contrast to the fronts of each case piece. The available desk is a functional addition to the collection with keyboard tray and drawer storage. The collection is offered in twin, full, queen, eastern king and california king for the perfect fit within your bedroom.",Garcia Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2046-1__1-750x500.jpg,2046
"Traditional elegance is captured in the design of the Elsmere Collection. From the feminine shape of the bomber case goods to the flair of feathered scroll that graces each piece of the bedroom suite, the romantic classicism of French provincial is perfectly executed. An antique gray finish is utilized to highlight the pine solids and tropical veneers with subtle silver tipping accents. Antiqued hardware with an elegant design that so perfectly complements the look of the group provides additional decorative accenting.",Elsmere Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1978W-1__2-750x500.jpg,1978W
"Created for the traditional bedroom, the Aviana Collection is a study in classic styling and modern presentation. An antiqued gray finish provides an open canvas for your personal decorative touch. Carved feet support classically styled case goods â each featuring teardrop hardware with an antiqued pewter finish. Raised panels further the traditional look of the case piece drawer fronts. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",Aviana Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1977-1__1-750x500.jpg,1977
The rustic modern look of the Branton Collection is a unique choice for your bedroom. An antique brown finish highlights the pine veneer while the black base rails that support the collection provide subtle contrast for a rustic industrial look. Unfettered framing allows for the veneer pattern to provide decorative accent. Horizontal hardware accents each case piece.,Branton Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1968-1__1-750x500.jpg,1968
"Ultra-modern from the straight lines that defines the profile to the two-tone espresso and white finish, the Pell Collection is a stylish choice for your bedroom. Bold finish contrast is rather contrasted by nickel hardware for the ultimate in contemporary accenting. Elevating the functionality of the collection is the bookcase headboard and off-set storage mirror compartment.",Pell Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1967W-1__1-750x500.jpg,1967W
"Taking a nod from contemporary design, the look of the Erwan Collection is a versatile choice for the modern home. A rich espresso finish highlights the okume veneer and beveled drawer fronts which are punctuated with gunmetal finished hardware and bold framing that blend together to create this soft contemporary bedroom offering.",Erwan Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1961-1__1-750x500.jpg,1961
"Modern glamour is exemplified in the design of the Bevelle Collection. Acrylic crystals frame each piece in the collection, reflecting the light to create eye-catching drama. The silver finish serves as the perfect complement to the high-polish decorative knob hardware and medallion accents. A stylish mirrored vanity, with coordinating stool, provides additional function to the collection. Providing contrast to finish is the dark gray bi-cast vinyl, button-tufted headboard panel. A coordinating dining room is also available.",Bevelle Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1958-1__1-750x500.jpg,1958
Classic transitional design serves as a base for the natural qualities of the solid wood utilized to create the rustic look of the Jerrick Collection. Metal hardware furthers the authentic rustic look while a burnished finish serves to highlight the wood grain while allowing each plank to serve as a unique accent to the overall design.,Jerrick Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1957-1__1-750x500.jpg,1957
"With a hint of weathering so popular in industrial styling, the Lonan Collection will fit into the rustic contemporary aesthetic that you look to achieve in your bedroom. Melamine laminate mimics the look of sun-bleached wood with a darker under-hue providing subtle contrast to the design of the group, with dark finished metal handles providing additional contrast. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",Lonan Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1955-1__1-750x500.jpg,1955
Blending the look of casual contemporary design with a rusticated aesthetic creates the unique feel of the Bowers Collection. Stacked off-set blocking design provides dramatic accent to the bed and carries over to the solid poplar fronts of the drawers. Providing additional accenting to the collection is the rustic java brown finish and the dark finish of the wood horizontal drawer hardware.,Bowers Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1952-1__1-750x500.jpg,1952
"At home in the most traditional of spaces, the Frederica Collection will provide the classic look you are seeking to add to your bedroom. The low-post bed of the group is complemented by the traditionally accented case goods. Classic bale and knob hardware front each drawer while bun feet support. A dark, burnished cherry finish furthers the traditional look of the Frederica Collection.",Frederica Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1949-1__1-750x500.jpg,1949
