dimensions,description,product_number,number
HB: 63H FB: 24H,California King Bed,1990-1,1990K-1CK
HB: 63H FB: 24H,Eastern King Bed,1990-1,1990K-1EK
HB: 63H FB: 24H,Queen Bed,1990-1,1990-1
28 x 17.5 x 28H,Night Stand,1990-1,1990-4
66 x 17.5 x 38.5H,Dresser,1990-1,1990-5
50 x 1.5 x 36H,Mirror,1990-1,1990-6
38 x 17.5 x 54.25H,Chest,1990-1,1990-9
HB: 48H FB: 16H,Queen Bed,2042-1,2042-1
HB: 48H FB: 16H,Full Bed,2042-1,2042F-1
22 x 16 x 22H,Night Stand,2042-1,2042-4
54 x 16 x 36H,Dresser,2042-1,2042-5
36 x 1.5 x 36H,Mirror,2042-1,2042-6
34 x 16 x 48H,Chest,2042-1,2042-9
HB: 50H FB: 25.5H, California King Platform Metal Bed ,2867-1,2867K-1CK
HB: 50H FB: 25.5H, Eastern King Platform Metal Bed ,2867-1,2867K-1EK
HB: 50H FB: 25.5H, Queen Platform Metal Bed ,2867-1,2867-1
HB: 50H FB: 25.5H, Full Platform Metal Bed ,2867-1,2867F-1
HB: 56H FB: 22.75H,California King Bed,5873N-1,5873KN-1CK
HB: 56H FB: 22.75H,Eastern King Bed,5873N-1,5873KN-1EK
HB: 56H FB: 22.75H,Queen Bed,5873N-1,5873N-1
49.5 x 20 x 18.5H,Bench,5873N-1,5873N-BH
21.5 x 21.5 x 19.25H,Ottoman,5873N-1,5873N-ST
HB: 64.5H FB: 14.25H,California King Bed,5872N-1,5872KN-1CK
HB: 64.5H FB: 14.25H,Eastern King Bed,5872N-1,5872KN-1EK
HB: 64.5H FB: 14.25H,Queen Bed,5872N-1,5872N-1
HB: 59.5H FB: 19H,California King Platform Bed with Footboard Storages,5438-1,5438K-1CK
HB: 59.5H FB: 19H,Eastern King Platform Bed with Footboard Storages,5438-1,5438K-1EK
HB: 59.5H FB: 19H,Queen Platform Bed with Footboard Storages,5438-1,5438-1
28.5 x 17 x 30H,Night Stand,5438-1,5438-4
64.5 x 18 x 38.75H,Dresser,5438-1,5438-5
44 x 2.5 x 36H,Mirror,5438-1,5438-6
40.5 x 18 x 52.75H,Chest,5438-1,5438-9
HB: 55.5H FB: 17.25H,California King Bed,5415RF-1,5415KRF-1CK
HB: 55.5H FB: 17.25H,Eastern King Bed,5415RF-1,5415KRF-1EK
HB: 55.5H FB: 17.25H,Queen Bed,5415RF-1,5415RF-1
28 x 16 x 26.5H,Night Stand,5415RF-1,5415RF-4
61 x 18 x 37H,Dresser,5415RF-1,5415RF-5
46.5 x 1.25 x 40.75H,Mirror,5415RF-1,5415RF-6
36 x 18 x 52.25H,Chest,5415RF-1,5415RF-9
51 x 17.75 x 20H,Lift Top Storage Bench,5415RF-1,5415RF-FBH
HB: 54.5H FB: 30H,California King Sleigh Bed,5400-1,5400K-1CK
HB: 54.5H FB: 30H,Eastern King Sleigh Bed,5400-1,5400K-1EK
HB: 54.5H FB: 30H,Queen Sleigh Bed,5400-1,5400-1
27.5 x 17.75 x 27.5H,Night Stand,5400-1,5400-4
63 x 17.75 x 39.5H,Dresser,5400-1,5400-5
43 x 2.25 x 37.5H,Mirror,5400-1,5400-6
38 x 17.75 x 52H,Chest,5400-1,5400-9
HB: 57H FB: 21H,California King Sleigh Platform Bed with Footboard Storage,2259GY-1,2259KGY-1CK
HB: 57H FB: 21H,Eastern King Sleigh Platform Bed with Footboard Storage,2259GY-1,2259KGY-1EK
HB: 57H FB: 21H,Queen Sleigh Platform Bed with Footboard Storages,2259GY-1,2259GY-1
28.5 x 18 x 29.75H,Night Stand with Hidden Drawer,2259GY-1,2259GY-4
65 x 18 x 40H,Dresser with Hidden Drawer,2259GY-1,2259GY-5
42.5 x 1.5 x 36.5H,Mirror,2259GY-1,2259GY-6
39 x 18 x 54H,Chest,2259GY-1,2259GY-9
HB: 50.5H FB: 16.5H,California King Bed,2046-1,2046K-1CK
HB: 50.5H FB: 16.5H,Eastern King Bed,2046-1,2046K-1EK
HB: 50.5H FB: 16.5H,Queen Bed,2046-1,2046-1
HB: 50.5H FB: 16.5H,Full Bed,2046-1,2046F-1
23.75 x 16.5 x 25.5H,Night Stand,2046-1,2046-4
58 x 17 x 33.75H,Dresser,2046-1,2046-5
38.5 x 1.5 x 42.25H,Mirror,2046-1,2046-6
36 x 17 x 50.25H,Chest,2046-1,2046-9
47.75 x 18 x 31H,Writing Desk,2046-1,2046-15
HB: 72.25H FB: 30.25H,California King Bed,1978W-1,1978KW-1CK
HB: 72.25H FB: 30.25H,Eastern King Bed,1978W-1,1978KW-1EK
HB: 72.25H FB: 30.25H,Queen Bed,1978W-1,1978W-1
33.25 x 19.25 x 31.25H,Night Stand,1978W-1,1978W-4
70 x 19.75 x 38H,Dresser,1978W-1,1978W-5
46 x 2 x 46H,Mirror,1978W-1,1978W-6
44 x 19.25 x 56H,Chest,1978W-1,1978W-9
HB: 63.5H FB: 31.5H,California King Bed,1977-1,1977K-1CK
HB: 63.5H FB: 31.5H,Eastern King Bed,1977-1,1977K-1EK
HB: 63.5H FB: 31.5H,Queen Bed,1977-1,1977-1
HB: 63.5H FB: 31.5H,Full Bed,1977-1,1977F-1
28 x 16 x 27.75H,Night Stand,1977-1,1977-4
62 x 17.75 x 38.25H,Dresser,1977-1,1977-5
46 x 2.5 x 36H,Mirror,1977-1,1977-6
38 x 17.75 x 52.25H,Chest,1977-1,1977-9
41.5 x 22 x 67.75H,Armoire,1977-1,1977-7
HB: 56H FB: 22H,King Bed,1968-1,1968K-1CK
HB: 56H FB: 22H,Eastern King Bed,1968-1,1968K-1EK
HB: 56H FB: 22H,Queen Bed,1968-1,1968-1
HB: 56H FB: 22H,Full Bed,1968-1,1968F-1
23.5 x 16.25 x 26.75H,Night Stand,1968-1,1968-4
59 x 16.25 x 37H,Dresser,1968-1,1968-5
40 x 1.25 x 38.75H,Mirror,1968-1,1968-6
33 x 16.25 x 50.25H,Chest,1968-1,1968-9
HB: 47H FB: 12H,California King Bed,1967W-1,1967KW-1CK
HB: 47H FB: 12H,Eastern King Bed,1967W-1,1967KW-1EK
HB: 47H FB: 12H,Queen Bed,1967W-1,1967W-1
23.25 x 15.5 x 23.75H,Night Stand,1967W-1,1967W-4
59 x 17.75 x 34.5H,Dresser,1967W-1,1967W-5
51.5 x 4.5 x 38.5H, Mirror with storage ,1967W-1,1967W-6
31 x 16.5 x 48.25H,Chest,1967W-1,1967W-9
HB: 55.25H FB: 16.75H,California King Bed,1961-1,1961K-1CK
HB: 55.25H FB: 16.75H,Eastern King Bed,1961-1,1961K-1EK
HB: 55.25H FB: 16.75H,Queen Bed,1961-1,1961-1
23.5 x 16.25 x 23.5H,Night Stand,1961-1,1961-4
59 x 16.25 x 40H,Dresser,1961-1,1961-5
41.5 x 1 x 34H,Mirror,1961-1,1961-6
31.5 x 16.25 x 48.5H,Chest,1961-1,1961-9
HB: 60H FB: 19.25H,California King Bed,1958-1,1958K-1CK
HB: 60H FB: 19.25H,Eastern King Bed,1958-1,1958K-1EK
HB: 60H FB: 19.25H,Queen Bed,1958-1,1958-1
27 x 17.75 x 27.25H,Night Stand,1958-1,1958-4
