id,number,kiosk_price,new_price,old_price,diff
15944,9979BRG-1,69,,69,69
14782,1288-305,129,129,123,0
16065,9999GY-1,239,239,229,0
15539,MT-G08T,115,115,109,0
12105,5470-13,69,69,65,0
14993,468CP,135,135,129,0
13432,1737NC-6,76,76,76,0
12864,1707-5,311,311,299,0
13521,5790-1*,79,,79,79
12850,1711-6,43,43,42,0
12070,1935A,140,140,135,0
15996,1219GY-2,189,189,179,0
15950,9940BK-1,99,,99,99
12739,1955-6,32,32,32,0
13106,1928-4,109,109,99,0
13567,1385K-1EK*,379,,379,379
15506,5887K-1EK*,225,225,219,0
13031,1927-4,159,159,149,0
12657,5400K-1EK*,369,369,359,0
16004,1219BU-1,115,115,109,0
14676,3257RF-30,149,149,139,0
15949,9940BK-2,139,,139,139
14012,8480RED-2PW,479,479,459,0
15151,1711NC-4,105,105,99,0
15929,9935GY-1,125,125,119,0
15851,5547S,33,33,32,0
12507,1393BK-50,269,,269,269
15528,815KN-1,112,112,109,0
16039,9903GY-2,339,339,319,0
14414,1386-10*,438,,438,438
16027,9911DBR-2,359,359,339,0
12875,5873N-BH,113,113,109,0
12134,5409S,70,,70,70
14250,1270F1S,129,,129
12351,2546-40*,289,,289
15281,5424K-1CK*,389,389,379,0
12165,5425-40,309,309,299,0
16041,9903GY-1,209,209,199,0
15453,5876KBE-1CK*,209,,209,209
15990,1225-1,157,157,149,0
11956,5530S,52,52,50,0
12172,2615DC-40,349,,349
13310,2147W-9,125,,125,125
16020,9668NDB-1,215,215,205,0
15139,1600K-1CK*,409,409,399,0
12179,2615DC-40,349,,349
15140,1600K-1EK*,409,409,399,0
13487,1737W-1*,365,365,359,0
16056,9980-1,219,219,209,0
14654,5428-05,189,189,179,0
13122,1916F-1*,299,,299,299
12254,1808-40,459,459,449,0
12337,2588-92*,390,390,367,0
12496,626-36*,257,,257
16062,9920RF-1PWH,285,285,279,0
13302,2147KW-1CK*,185,,185,185
13841,8212-CN,60,60,56,0
12670,2046K-1CK*,215,215,209,0
13725,8327BLK-CR,130,130,123,0
