dimensions,description,product_number,number
42 x 66 – 84 x 30.5H,Dining Table,5546,5546-84
21.5 x 25.5 x 39.5H,Side Chair,5546,5546S
60.25 x 18.5 x 80.5H,Buffet & Hutch,5546,5546-50
60 x 18.5 x 34.75H,Buffet / Server,5546,5546-55
55 x 31.5 x 29.5H,Dining Table Glass Top,5538W,5538W
16.5 x 19.75 x 38.5H,Dining Table Glass Top,5538W,5538WS
55 x 31.5 x 29.5H,Dining Table Glass Top,5538BK,5538BK
16.5 x 19.75 x 38.5H,Dining Table Glass Top,5538BK,5538BKS
42 x 42 x 35.5H,Dining Table Glass Top,5532,5532-36
17 x 20.25 x 43.25H,Counter Height Chair,5532,5532-24
47.75 x 76 – 94 – 112 x 30.25H,Double Pedestal Dining Table,5531,5531-112
24.5 x 27.25 x 41H,Arm Chair,5531,5531A
21 x 27.25 x 41H,Side Chair,5531,5531S
70 x 20 x 88H,Buffet & Hutch,5531,5531-50
42 x 60 – 78 x 29.5H,Double Pedestal Dining Table,5530,5530-78
25 x 24.25 x 41H,Double Pedestal Dining Table,5530,5530A
21.5 x 22 x 40.5H,Double Pedestal Dining Table,5530,5530S
54 x 17.75 x 60.5H,Curio,5530,5530-50
54 x 54 x 36H,Curio,5525,5525-36
18 x 24.5 x 39.5H,Counter Height Chair,5525,5525DG-24
39.75 x 25 x 39.75H,Counter Height Chair,5525,5525DG-24BH
50 x 18 x 36H,Server,5525,5525-40
40 x 72 x 30H,Server,5525,5525-72
18 x 24.5 x 38H,Side Chair,5525,5525DGS
50 x 18 x 36H,Server,5525,5525-40
40 x 60 – 78 x 29.5H,Dining Table,5520,5520-78
20.5 x 22.5 x 40H,Side Chair,5520,5520S
48 x 16 x 18H,"48"" Bench",5520,5520-13
47.75 x 18 x 36H,Server,5520,5520-40
42 x 60 – 78 x 30H,Dining Table,5518,5518-78
18.25 x 22 x 38H,Side Chair,5518,5518S
52 x 19 x 36H,Server,5518,5518-40
41.75 x 77 x 30H,Dining Chair,5517,5517-78
22 x 22.5 x 33.5H,Arm Chair,5517,5517A
53 x 17.75 x 36H,Server,5517,5517-40
38 x 66 x 29.75H,Dining Table,5516,5516-66
17.25 x 23 x 39H,Dining Table,5516,5516BKS
17.25 x 23 x 39H,Dining Table,5516,5516BMS
17.25 x 23 x 39H,Dining Table,5516,5516TLS
17.25 x 23 x 39H,Dining Table,5516,5516WTS
31 x 47.25 x 29.5H,Dining Table,5515GY,5515GY
18.75 x 21.25 x 30.5H,Side Chair,5515GY,5515GYS
38 x 64 x 30H,Dining Table,5513,5513-64
19 x 24.75 x 39.5H,Side Chair,5513,5513S
36 x 66 x 36H,Counter Height Table,5510,5510-36
19 x 22 x 40H,Counter Height Chair,5510,5510-24
35.75 x 65.75 x 30H,Dining Table,5510,5510-66
19 x 23 x 38H,Side Chair,5510,5510S
42 x 74 – 92 x 30H,Double Pedestal Dining Table,5509,5509-92
25 x 24.25 x 41H,Arm Chair,5509,5509A
21 x 24.25 x 41H,Side Chair,5509,5509S
51 x 17 x 80H,Buffet & Hutch,5509,5509-50
42 x 60 – 78 x 30H,Dining Table,5504,5504-78
18 x 22 x 40H,Side Chair,5504,5504S
60 x 18 x 42H,Server,5504,5504-40
35.5 x 63 – 78.75 x 30H,Dining Chair,5503,5503
16.5 x 22 x 39.5H,Side Chair,5503,5503S
40 x 72 x 30H,Dining Table,5544,5544-72
20.5 x 24.5 x 38H,Side Chair,5544,5544S
50 x 16 x 17.75H,Side Chair,5544,5544-13
54 x 18 x 36H,Server,5544,5544-40
42 x 60 – 78 x 30H,Dining Table,5496,5496-78
42 x 22.25 x 40H,Side Chair,5496,5496S
48 x 16.5 x 19.25H,"48"" Bench",5496,5496-13
54 x 18 x 36H,Server,5496,5496-40
60 x 60 – 76 x 30H,Round / Oval Pedestal Dining Table,5494,5494-76
23.5 x 31.25 x 42H,Arm Chair,5494,5494A
23.5 x 31.25 – 106 x 42H,Side Chair,5494,5494S
71 x 21.25 x 35.5H,Server,5494,5494-40
45.5 x 84 – 106 x 30H,Double Pedestal Dining Table,5494,5494-106
23.5 x 31.25 x 42H,Arm Chair,5494,5494A
23.5 x 31.25 – 106 x 42H,Side Chair,5494,5494S
71 x 21.25 x 35.5H,Server,5494,5494-40
36 x 66 x 30H,Dining Table,5512,5512-66
18 x 23 x 36H,Side Chair,5512,5512S
36 x 69 x 36H,Side Chair,5489,5489-36
16.5 Dia x 35.5H,Swivel Counter Height Chair,5489,5489-24
48 Dia x 30H,Round Dining Table with Glass Top,5491,5491-48
25 x 24 x 32.5H,Arm Chair,5491,5491A
45 Dia x 30.25H,Arm Chair,5488,5488-36RD
14.25 Dia x 19.75H,Arm Chair,5488,5488-24
36 x 76 x 35.5H,Counter Height Table,5480,5480-36
19.5 x 23 x 42H,Counter Height Chair,5480,5480-24
60 x 16 x 24H,Counter Height Chair,5480,5480-24BH
54 x 18 x 36H,Server,5480,5480-40
41.75 x 76 x 30H,Dining Table,5480,5480-76
20 x 24 x 38H,Side Chair,5480,5480S
60 x 16 x 18H,"60"" Bench",5480,5480-14
54 x 18 x 36H,Server,5480,5480-40
39 x 72 x 30H,Dining Table,5479,5479-72
19 x 23 x 38H,Side Chair,5479,5479S
60 x 15.5 x 17.75H,"60"" Bench",5479,5479-14
20.5 x 23.75 x 34.5H,Side Chair,5479,5478S
47.5 x 15.5 x 17.75H,Side Chair,5479,5478-13
39 x 72 x 30H,Dining Table,5478,5478-72
20.5 x 23.75 x 34.5H,Side Chair,5478,5478S
47.5 x 15.5 x 17.75H,Side Chair,5478,5478-13
19 x 23 x 38H,Side Chair,5478,5479S
60 x 15.5 x 17.75H,"60"" Bench",5478,5479-14
47.25 Dia x 30H,Dining Table,5456,5456
21 x 19 x 39H,Side Chair,5456,5456S
49.75 x 65.75 x 36H,Counter Height Table,5431,5431-36
19 x 21.25 x 41.75H,Counter Height Chair,5431,5431-24
60 x 24 x 25H,Counter Height Chair,5431,5431-24BH
65 x 17.75 x 33.25H,Server,5431,5431-40
45 Dia x 30H,Round Pedestal Dining Table,5328,5328-45RD
18.5 x 19 x 36H,Side Chair,5328,5328S
56.75 x 18 x 34H,Server,5328,5328-40
42 x 77.5 – 95.5 x 30H,Double Pedestal Dining Table,5328,5328-96
18.5 x 19 x 36H,Side Chair,5328,5328S
56.75 x 18 x 34H,Server,5328,5328-40
44 x 75.5 – 96 x 30H,Dining Table,5267RF,5267RF-96
23.75 x 25 x 39H,Arm Chair,5267RF,5267RFA
20 x 25.5 x 41H,Side Chair,5267RF,5267RFS
58.5 x 18.75 x 80H,Buffet & Hutch,5267RF,5267RF-50
42 x 78 – 96 x 30H,Dining Table,5477N,5477N-96
25 x 26 x 41.5H,Arm Chair,5477N,5477NA
20.5 x 26 x 41.5H,Side Chair,5477N,5477NS
57 x 18 x 35.5H,Server,5477N,5477N-40
42.75 x 78 – 96 x 30H,Dining Chair,1958,1958-96
27.25 x 27.25 x 40.75H,Arm Chair,1958,1958A
21.25 x 27.25 x 40.75H,Side Chair,1958,1958S
61.75 x 20.5 x 83.75H,Buffet & Hutch,1958,1958-50
59.25 x 19.5 x 39.5H,Server,1958,1958-40
42 x 75 – 95 x 30H,Dining Chair,1947,1947-96
23 x 26 x 41H,Arm Chair,1947,1947A
20 x 26 x 41H,Side Chair,1947,1947S
46.75 x 17.25 x 79.75H,Buffet & Hutch,1947,1947-50
57.5 x 17 x 38.75H,Server,1947,1947-40
60 x 60 – 76 x 30H,Round / Oval Pedestal Dining Table,1935,1935-76
26 x 26 x 43H,Arm Chair,1935,1935A
22 x 26 x 43H,Side Chair,1935,1935S
71.25 x 21 x 42H,Buffet / Server,1935,1935-55
44 x 78 – 94 – 110 x 30H,Double Pedestal Dining Table,1935,1935-110
26 x 26 x 43H,Arm Chair,1935,1935A
22 x 26 x 43H,Side Chair,1935,1935S
71.75 x 21 x 93H,Buffet & Hutch,1935,1935-50
60 Dia x 30H,Round Dining Table,1704,1704-60
26 x 24.5 x 44H,Arm Chair,1704,1704A
22.75 x 24.5 x 44H,Side Chair,1704,1704S
69.5 x 20 x 86.25H,Buffet & Hutch,1704,1704-50
44 x 72 – 90 – 108 x 30H,Dining Table,1704,1704-108
26 x 24.5 x 44H,Arm Chair,1704,1704A
22.75 x 24.5 x 44H,Side Chair,1704,1704S
69.5 x 20 x 86.25H,Buffet & Hutch,1704,1704-50
38 x 66 x 30H,Dining Table,5423,5423-66
18.75 x 24.5 x 40H,Side Chair,5423,5423S
36 x 60 x 30H,Dining Table,5469,5469-60
17.25 x 22.75 x 37.75H,Side Chair,5469,5469S
36 x 60 x 30H,Dining Table,5430,5430-60
16.75 x 22.5 x 40.5H,Side Chair,5430,5430S
30 x 48 x 36H,Counter Height Table with Wine Rack,5429,5429-36
22 x 22 x 37H,Counter Height Chair with Adjustable Height,5429,5429-24
22 x 22 x 24H,Counter Height Stool with Adjustable Height,5429,5429-24ST
36 Dia x 36H,Round Counter Height Table with Adjustable Height,5429,5429-36RD
22 x 22 x 37H,Counter Height Chair with Adjustable Height,5429,5429-24
22 x 22 x 24H,Counter Height Stool with Adjustable Height,5429,5429-24ST
39.5 x 39.5 x 36H,Counter Height Table,5460,5460-36
17.5 x 19 x 38.75H,Counter Height Chair,5460,5460-24
42 x 64 – 82 x 30H,Dining Table,586GY,586GY-82
20 x 23 x 40H,Side Chair,586GY,586GYS
60 x 16 x 20H,"60"" Bench",586GY,586GY-14
52 x 18 x 33H,Server,586GY,586GY-40
42 x 72 x 30H,Dining Table with Faux Marble Top,5470,5470-72
20 x 25 x 40H,Side Chair,5470,5470S
49 x 18 x 20H,"49"" Bench",5470,5470-13
38 x 64 x 30H,Dining Table with Faux Marble Top,5285,5285-64
19 x 25 x 39H,Side Chair,5285,5285S
49 x 18 x 20H,"49"" Bench",5285,5285-13
38 x 64 x 30H,Dining Table with Bluestone Marble Top,5281,5281-64
19 x 25 x 39H,Side Chair,5281,5281S
49 x 18 x 20H,"49"" Bench",5281,5281-13
38 x 64 x 30H,Dining Table with Bluestone Marble Top,5280,5280-64
19 x 24 x 39H,Side Chair,5280,5280S
49 x 18 x 20H,"49"" Bench",5280,5280-13
56.25 x 18 x 34H,Server with Bluestone Marble Top,5280,5280-40
36 x 62 x 30H,Dining Table with Marble Top,5466,5466-62
19 x 25 x 39H,Side Chair,5466,5466S
49 x 18 x 20H,"49"" Bench",5466,5466-13
35.5 x 60 x 30H,Dining Table,1915,1915-60
18.5 x 22.75 x 33H,Side Chair,1915,1915S
47.5 x 17.75 x 35.5H,Server,1915,1915-40
47.5 x 59.5 x 36H,Counter Height Table,5435,5435-36
18.5 x 22.5 x 31.25H,Counter Height Chair,5435,5435-24
18.5 x 22.5 x 31.25H,Swivel Counter Height Chair,5435,5435-24SW
41.75 x 59.25 – 77 x 30H,Dining Table,5431,5431-77
19 x 22.5 x 39.25H,Side Chair,5431,5431S
60 x 19.25 x 19.75H,"60"" Bench",5431,5431-14
65 x 17.75 x 33.25H,Server,5431,5431-40
40 x 60 – 78 x 30H,Dining Table,5415RF,5415RF-78
19.75 x 24 x 38.5H,Side Chair,5415RF,5415RFS
58 x 16 x 18H,"58"" Bench",5415RF,5415RF-13
60 x 18 x 34H,Server,5415RF,5415RF-40
42 x 60 – 78 x 30H,Dining Table,5409,5409-78
20 x 23.75 x 40H,Side Chair,5409,5409S
54 x 18 x 36H,Server,5409,5409RF-40
45 Dia x 30H,Round Dining Table,5428,5428-45RD
18.5 x 25 x 39.5H,Side Chair,5428,5428-S1
22.5 x 23 x 39.75H,Side Wing Chair,5428,5428-S2
23.5 x 25.75 x 36.5H,Curved Arm Chair,5428,5428-S3
56.75 x 18 x 36H,Server,5428,5428-40
40 x 84 x 30H,Dining Table,5428,5428-84
18.5 x 25 x 39.5H,Side Chair,5428,5428-S1
22.5 x 23 x 39.75H,Side Wing Chair,5428,5428-S2
23.5 x 25.75 x 36.5H,Curved Arm Chair,5428,5428-S3
56.75 x 18 x 36H,Server,5428,5428-40
42 x 64 – 82 x 30H,Dining Table,5411RF,5411RF-82
18 x 22 x 39H,Side Chair,5411RF,5411RFS
52 x 18 x 38H,Server,5411RF,5411RF-40
42 x 76 – 96 x 30H,Trestle Dining Table,5438,5438-96
19.25 x 22 x 40H,Side Chair,5438,5438S
62 x 21 x 34H,"62"" Bench with Curved Arms",5438,5438-14A
66 x 19 x 38H,Server,5438,5438-40
44 x 76 – 94 x 30H,Dining Table,5400,5400-94
23.75 x 21.5 x 40.25H,Arm Chair,5400,5400A
20.25 x 21.5 x 40.25H,Side Chair,5400,5400S
66 x 16 x 17.75H,"66"" Bench",5400,5400-13
64 x 20 x 86.25H,Buffet & Hutch,5400,5400-50
61 x 20 x 35H,Buffet / Server,5400,5400-55
52 x 28 x 36H,Kitchen Cart with Casters,5400,5400-07
54 Dia x 30H,Round Dining Table,5404,5404-54
19.25 x 24.25 x 40.25H,Side Chair with Fabric,5404,5404S
19.25 x 24.25 x 40.25H,Side Chair with Bi-Cast Vinyl,5404,5404PUS
42 x 60 x 36.5H,Counter Height Table,5425,5425-36
54 x 18 x 40H,Counter Height Chair,5425,5425-24
54 x 18 x 40H,Server,5425,5425-40
42 x 72 – 90 x 30.5H,Dining Table,5425,5425-90
20 x 23 x 41H,Side Chair,5425,5425S
54 x 18 x 40H,Server,5425,5425-40
54 x 54 x 36H,Counter Height Table,2615DC,2615DC-36
18.5 x 21.75 x 42.25H,Counter Height Chair,2615DC,2615DC-24
60 x 19 x 80.25H,Buffet & Hutch,2615DC,2615DC-50
58 x 19 x 39H,Server,2615DC,2615DC-40
54 x 54 – 72 x 30H,Pedestal Dining Table,2615DC,2615DC-72
25 x 25.75 x 41.5H,Arm Chair,2615DC,2615DCA
20.5 x 25.75 x 41.5H,Side Chair,2615DC,2615DCS
25 x 25.5 x 41.5H,Side Chair,2615DC,2615RFA-NN
20.5 x 25.5 x 41.5H,Side Chair,2615DC,2615RFS-NN
60 x 19 x 80.25H,Buffet & Hutch,2615DC,2615DC-50
58 x 19 x 39H,Server,2615DC,2615DC-40
48 x 79 – 103 x 30H,Double Pedestal Dining Table,5473,5473-103
25 x 25 x 40H,Arm Chair,5473,5473A
21 x 25 x 40H,Side Chair,5473,5473S
60.25 x 19.5 x 83.75H,Buffet & Hutch,5473,5473-50
36 x 47.75 x 29.5H,Dining Table,5268,5268-48
18.75 x 21.75 x 38H,Side Chair,5268,5268S
42.25 x 72 – 90 – 107.5 x 30.25H,Dining Table,5251,5251-108
20 x 27 x 39H,Side Chair,5251,5251S
57.75 x 18.25 x 82.25H,Buffet & Hutch,5251,2546-50
56.25 x 17.5 x 36H,Server,5251,2546-40
56.25 x 13.5 x 22.5H,Server,5251,2546-40M
42 x 78 – 90 x 30H,Dining Table,5179,5179-90
20.25 x 23.5 x 40H,Side Chair,5179,5179-S2
60.25 x 18.25 x 20H,"60"" Bench",5179,5179-13
56 x 18 x 36.5H,Server,5179,5179-40
36 x 60 x 30H,Dining Table,5178,5178-60
17 x 23.25 x 39.5H,Dining Table,5178,5178BRS
17 x 23.25 x 39.5H,Dining Table,5178,5178GYS
40 x 84 x 30H,Dining Table,5177,5177-84
21.75 x 22.25 x 36.5H,Side Chair,5177,5177S
53.5 Dia x 30H,Round Dining Table,5177,5177-54
21.75 x 22.25 x 36.5H,Side Chair,5177,5177S
44 x 75.5 – 95.5 x 30H,Dining Table,5167,5167-96
21 x 23 x 41H,Side Chair,5167,5167FS
58.5 x 19.5 x 80H,Buffet & Hutch,5167,5167-50
57 x 18.75 x 36H,Buffet / Server,5167,5167-55
35.5 x 59 x 30H,Dining Table,5155,5155
17 x 24 x 37.75H,Side Chair,5155,5155S
36 x 47.75 x 29.5H,Dining Table,5149,5149-48
20.25 x 21 x 37.75H,Side Chair,5149,5149S
40 x 40 x 36H,Side Chair,5149,5149-36
20.25 x 21 x 44H,Side Chair,5149,5149-24
42 x 60 – 78 x 30H,Dining Table,5147BK,5147BK-78
17.75 x 23.5 x 39H,Side Chair,5147BK,5147BKS
