Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
101N,DS,,\NATURAL CHAIR W/BACK CUSHION,HMLG,30.00(Unit Price),0,,,MCCS,7.74,1.5,2,
102,DS,,"T HDBD,VICTORIAN OAK FINISH",HMLG,,0,,,MCCS,27,2.33,1,
103,DS,,"TWIN HEADBOARD, SOLID WOOD, OAK MISSN",HMLG,49.00(Unit Price),0,,,MCCS,27,1.69,1,XXY-71
104,DS,,"T HDBD, SOLID WOOD MISSION",HMLG,,0,,,MCCS,33.21,2.6,1,
106QF,DS,,"QUEEN / FULL HEADBOARD, CHERRY",HMLG,129.00(Unit Price),0,,,MCCS,48,7.82,1,XXY-71
108,DS,,"T HDBD, OAK FINISH",HMLG,,0,,,MCCS,28,1.63,1,
109,DS,,"T HDBD, WHITE",HMLG,,0,,,MCCS,28,1.4,1,
1107BLK,DS,TBDS,"\SWIVEL STOOL, BLACK, 1PC/CTN",HMLG,45.00(Promotional Price),0,,,CGDT,24.97,5.15,1,XD-210
1132-29S,DS,TBDS,"\SWIVEL PUB CHAIR, OAK FIN, 1PC",HMLG,,0,,,MCES,26.78,3.11,1,
1134-29S,DS,,"\SWIVEL PUB CHAIR, OAK FIN, 1PC",HMLG,39.00(Unit Price),0,,,MCES,26.78,3.11,1,
1136-24S,DS,TBDS,SWIVEL COUNTER HEIGHT CHAIR,HMLG,67.00(Unit Price),0,,,MCES,26.78,2.82,1,XD-206
1136-29S,DS,TBDS,SWIVEL PUB CHAIR,HMLG,71.00(Unit Price),0,,,MCES,28.6,2.82,1,XD-206
1145BLK,DS,,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),1,,,CGDT,14.74,1.73,2,XD-192
1145RED,DS,,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),0,,,CGDT,14.74,1.73,2,XD-192
1146RED,DS,TBDS,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),2,,,CGDT,16.5,1.05,2,XD-208
1147WHT,DS,,AIRLIFT SWIVEL STOOL,HMLG,27.00(Unit Price),0,,,CDDT;CGDT,14.85,2.59,2,D-192
1153BLK,DS,,AIRLIFT SWIVEL STOOL,HMLG,41.00(Unit Price),0,,,CGDT,18.48,1.94,2,XXD-214
1153WHT,DS,,AIRLIFT SWIVEL STOOL,HMLG,41.00(Unit Price),0,,,CGDT,18.48,1.94,2,XXD-214
1167F1S,DS,,"ACCENT CHAIR, KIDNEY PLLW, GREY",HMLG,159.00(Unit Price),0,,,CGHA,60.5,18.2,1,
1180BLU,DS,TBDS,"CRADLE CHAIR, BLUE ABS",HMLG,25.00(Promotional Price),0,,,CGDT,11,5.73,1,XXH-66
1189BLK-1,DS,,"ACCENT CHAIR, BLACK FABRIC",HMLG,69.00(Unit Price),0,,,CDGI;CGGI,0,12.57,1,
1189BRW-1,DS,,"ACCENT CHAIR, BROWN FABRIC",HMLG,69.00(Unit Price),0,,,CDGI;CGGI,0,12.57,1,
1189BUE-1,DS,,"ACCENT CHAIR, BLUE FABRIC",HMLG,69.00(Unit Price),0,,,CDGI;CGGI,0,12.57,1,
1193F3S,DS,,"ACCENT CHAIR, BLUE, 3A",HMLG,129.00(Unit Price),0,,,CGZN,39.6,12.04,1,XS-201
1194BLK,DS,,"CHAISE, BLK BONDED LTHR MATCH",HMLG,169.00(Unit Price),0,,,CGGI,57.2,33.3,1,
1194F1S,DS,,"ACCENT CHAIR, HOUNDSTOOTH CHECK  (3A)",HMLG,125.00(Unit Price),0,,,CGZN,0,13,1,
1194F2S,DS,,"ACCENT CHAIR, HERRINGBONE FABRIC  (3A)",HMLG,125.00(Unit Price),0,,,CGZN,0,13,1,
1196F2S,DS,,"SWIVEL ACCENT CHAIR, LETTER",HMLG,259.00(Unit Price),0,,,CGZN,72.6,33,1,
1197F1S,DS,,"ACCENT CHAIR, BEIGE FABRIC, SET-UP",HMLG,139.00(Unit Price),0,,,CGYQ,56.32,19.6,1,XS-191
1197F2S,DS,,"ACCENT CHAIR, BROWN FABRIC, SET-UP",HMLG,139.00(Unit Price),0,,,CGYQ,56.32,19.6,1,XS-191
1200BLK,DS,,"SWIVEL CHAIR, BLACK PU",HMLG,149.00(Unit Price),0,,,CPSY,63.8,18.65,1,S-194
1205-04,DS,,END TABLE,HMLG,92.00(Unit Price),0,,,CSCV,45.6,5.01,1,XXT-37
1205-30,DS,,OVAL COCKTAIL TABLE,HMLG,49.00(Promotional Price),0,,,CSCV,65.85,9.85,1,XXT-37
1205-48,DS,,"48""RD DINING TABLE",HMLG,171.00(Unit Price),0,,,CSCV,104.5,11.1,1,XXD-112
1205-50,DS,,"(1/2) HUTCH TOP, CHERRY",HMLG,249.88(Unit Price),0,,,CSCV,152.8,31.5,1,XXD-111
1205-55,DS,,"(2/2) BTM BUFFET, CHERRY",HMLG,135.12(Unit Price),0,,,CSCV,77.49,15.4,1,XXD-111
1205E-1,DS,,"QN/FULL HDBD, DARK ESPRESSO",HMLG,99.00(Unit Price),0,,,VSVC,70.4,14.3,1,
1205E-4,DS,,NIGHT STAND,HMLG,99.00(Unit Price),0,,,VSVC,65.12,11.2,1,
1205E-5,DS,,DRESSER,HMLG,239.00(Unit Price),0,,,VSVC,161.04,34.7,1,
1205E-6,DS,,MIRROR,HMLG,63.00(Unit Price),0,,,VSVC,44.44,7.09,1,
1205E-9,DS,,CHEST,HMLG,199.00(Unit Price),0,,,VSVC,128.04,25.3,1,
1205KE-1,DS,,EK/CK HDBD,HMLG,139.00(Unit Price),0,,,VSVC,89.32,17.5,1,
1210-1,DS,,PE WICKER RLNR CHAIR & OTTOMAN,HMLG,,0,,,VCLD,0,18.1,1,
1212F3S,DS,,"ACCENT CHAIR, LT COLR SCRIPT,3A",HMLG,,0,,,CGZN,0,11.1,1,
1212F4S,DS,TBDS,"ACCENT CHAIR, GREY CHEVRON,3A",HMLG,75.00(Promotional Price),1,,,CGZN,37.51,11.1,1,XS-200
1212F5S,DS,,"ACCENT CHAIR, CAMEL CHEVRON  (3A)",HMLG,133.00(Unit Price),0,,,CGZN,0,11.2,1,
1212F6S,DS,,"ACCENT CHAIR, TURQUOISE CHEVRON  (3A)",HMLG,133.00(Unit Price),0,,,CGZN,0,11.2,1,
1215BRS,DS,,"ACCENT CHAIR, DARK BROWN P/U",HMLG,29.00(Promotional Price),0,,,MCCW,24.2,5.76,1,XS-178
1215CRS,DS,,"ACCENT CHAIR, CREAM P/U",HMLG,29.00(Promotional Price),0,,,MCCW,24.2,5.76,1,XS-178
1215GRS,DS,,"ACCENT CHAIR, GREEN P/U",HMLG,29.00(Promotional Price),0,,,MCCW,24.2,5.76,1,XS-178
1215RDS,DS,,"ACCENT CHAIR, RED P/U",HMLG,29.00(Promotional Price),0,,,MCCW,24.2,5.76,1,XS-178
1216F1S,DS,,ACCENT CHAIR,HMLG,175.00(Unit Price),0,,,CGHP,53.9,16.25,1,XS-193
1217F1S,DS,,ACCENT CHAIR,HMLG,209.00(Unit Price),0,,,CGHZ,56.32,19.22,1,XS-189
1217F2S,DS,,"ACCENT CHAIR, NEW FABRIC",HMLG,199.00(Unit Price),0,,,CGHZ,56.32,19.22,1,XS-189
1222F1S,DS,,ACCENT CHAIR,HMLG,29.00(Promotional Price),0,,,CGYQ,29.37,7.94,1,XS-173
1226WT-1,DS,,"CHAIR, WHITE P/U",HMLG,154.00(Unit Price),0,,,CGDC,38.41,8.622,1,XXH-70
