description,name,image,number
Bold curves provide elegant contrast to the unique look of the Toulon Collection. The heavily scrolled base supports of the tables feature French provincial inspired routing while wire-brushed distressing provides texture to the acacia veneer of this elegant occasional collection.,Toulon Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/5438-30__1-750x500.jpg,5438-30
"Transitionally styled with a burnished brown finish, the Schleiger Collection features bold accenting for your living room. Sturdy legs support the metal and rivet banded table tops of the cocktail table, sofa table and end table.",Schleiger Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/5400-30__1-750x500.jpg,5400-30
"A classic look for your traditional home, the Reid Collection offers an updated country style that will be a warm and inviting addition to your living room. A cherry finish graces the wood veneer of the group. Each table in the collection supported by substantially appointed turned legs while functional drawers on each piece and casters on the cocktail table provide for storage and convenient movement.",Reid Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/5267RF-30__1-750x500.jpg,5267RF-30
"Asymmetrically patterned for the most modern homes, light finished metal framing provides complimenting accent to the wood veneer of the Xaria Collection. Modern design is achieved in each piece with open-concept off-set display and clean lines. The sofa table can also serve as entertainment console by adding the etagere expanding to a full wall unit to organize and display all your media components.",Xaria Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/4617-30__1-750x500.jpg,4617-30
Contemporary styling lends a unique look to the dÃ©cor of your living room in the Laszlo Collection. The three panels of the table base intersect to support glass tabletops. Chrome connections provide additional decorative touch while the brown finish presents a neutral palette that blends effortlessly in a number of environments.,Laszlo Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/3593-01__1-750x500.jpg,3593-01
Extraordinary contemporary design is utilized in the creation of the Halston Collection. Streamlined table legs extend and intersect to support the glass tabletops in this unique occasional table offering. The espresso finish of the wood legs furthers the modern feel of the collection.,Halston Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/2952-30__1-750x500.jpg,2952-30
Classic elements combine to create the refined styling of the Moorewood Park Collection. The casual pecan finish over pecan veneers belies the expected vision of stuffy traditional design with the light finish creating a unique statement to the gracefully scrolled motifs that feature prominently throughout the collection. Each occasional table features canted curved pilasters and legs that enhance the profile of the collection with lower display shelves providing additional space for you to show off your decorative choices.,Moorewood Park Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1704-30__1-333x500.jpg,1704-30
"Styled for placement in transitional to contemporary settings, the Berlin Collection will be the perfect addition to your casual living space. The X-framing of the tablesâ bases and sides lend a distinctly clean look to the design of this occasional offering. Glass tabletop inserts rest atop the black finished frames.",Berlin Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4087-30__1-750x500.jpg,4087-30
"A complement to the modern or transitional home, the Chama Collection is a unique addition to the overall dÃ©cor of your homeâs living room. Framed in metal with a faux wood veneer top, the circular patterns provide focal accent to the cocktail and end table bases, ultimately lending to the flexibility for placement in a number of casual living room settings.",Chama Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/5469-30__1-333x500.jpg,5469-30
Ultra-modern styling is achieved in the design of the Miami Collection. High gloss dark grey tabletops feature chrome legs that exemplify the tenants of contemporary interior design.,Miami Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/5430-30__1-333x500.jpg,5430-30
