dimensions,description,product_number,number
48 x 26 x 19.5H,Cocktail Table,5438-30,5438-30
24 x 26 x 24.25H,End Table,5438-30,5438-04
48 x 18 x 30.25H,Sofa Table,5438-30,5438-05
47.75 x 26 x 18H,Cocktail Table,5400-30,5400-30
24 x 23.5 x 23.75H,End Table,5400-30,5400-04
47.75 x 17.75 x 30H,Sofa Table,5400-30,5400-05
48 x 26 x 20H, Cocktail Table with Two Functional Drawers on Casters ,5267RF-30,5267RF-30
24 x 26 x 24.5H,End Table with Functional Drawer,5267RF-30,5267RF-04
48 x 18 x 30.25H,Sofa Table with Two Functional Drawers,5267RF-30,5267RF-05
48 x 28 x 20H,Cocktail Table,4617-30,4617-30
24 x 26 x 25H,End Table,4617-30,4617-04
60 x 17 x 28H,Sofa Table / TV Stand,4617-30,4617-05
31.5 x 15.5 x 72H,Etagere,4617-30,4617-12
36 Dia x 17.25H,Round Cocktail Table with Glass Top,3593-01,3593-01
24 Dia x 22.5H,Round End Table with Glass Top,3593-01,3593-04
52 x 32 x 20H,Cocktail Table with Glass Top,2952-30,2952-30
26 Dia x 24H,End Table with Glass Top,2952-30,2952-04N
48 x 18 x 28H,Sofa Table with Glass Top,2952-30,2952-05
52 x 30 x 18H,Cocktail Table,1704-30,1704-30
28 x 26 x 24H,End Table,1704-30,1704-04
52 x 20 x 30H,Sofa Table with Functional Drawer,1704-30,1704-05
48 x 26 x 19H,Cocktail Table with Glass Insert,4087-30,4087-30
22 x 24 x 24H,End Table with Glass Insert,4087-30,4087-04
50 x 18 x 30H,Sofa Table with Glass Insert,4087-30,4087-05
47.75 x 23.75 x 18H,Cocktail Table,5469-30,5469-30
22 x 22 x 22.25H,End Table,5469-30,5469-04
47.75 x 24 x 18H,Cocktail Table,5430-30,5430-30
22 x 22 x 22H,End Table,5430-30,5430-04
47.75 x 26.75 x 18.5H,Cocktail Table with Hidden Tray and Glass Top,3534-30,3534-30
27 x 21 x 24.75H,End Table with Glass Top,3534-30,3534-04
47.75 x 16.75 x 30.75H,Sofa Table with Glass Top,3534-30,3534-05
48 x 28 x 18H,Cocktail Table with Two Functional Drawers,3578-30,3578-30
48 x 18 x 30H,Sofa Table with Two Functional Drawers,3578-30,3578-05
22 x 22 x 25H,End Table with Functional Drawer,3578-30,3578-04
47.25 x 23.5 x 17.75H,Cocktail Table,8079-30,8079-30
22 x 22 x 21.25H,End Table,8079-30,8079-04
47.25 x 15.75 x 28H,Sofa Table,8079-30,8079-05
50 x 26 x 17.25H,Cocktail Table,5428-30,5428-30
26 x 24 x 23.25H,End Table,5428-30,5428-04
50 x 18.5 x 29.25H,Sofa Table,5428-30,5428-05
54 x 31 x 20H,Cocktail Table with Glass Inset,1935-30,1935-30
24 x 26 x 25H,End Table,1935-30,1935-04
56 x 18 x 30H,Sofa Table,1935-30,1935-05
52 x 28 x 20H,Cocktail Table,1918-30,1918-30
24 x 28 x 24H,End Table,1918-30,1918-04
52 x 18 x 30H,Sofa Table,1918-30,1918-05
48 x 26 x 20H,Cocktail Table with Marble Top,3551-30,3551-30
25 x 23 x 24H,End Table with Marble Top,3551-30,3551-04
48 x 18 x 31H,Sofa Table with Marble Top,3551-30,3551-05
48 x 26 x 19.25H,Cocktail Table with Bluestone Marble Top,3552-30,3552-30
25 x 23 x 23.25H,End Table with Bluestone Marble Top,3552-30,3552-04
48 x 18 x 30.25H,Sofa Table with Bluestone Marble Top,3552-30,3552-05
48 x 24 x 19H,Cocktail Table with Marble Top,5466-30,5466-30
24 x 22 x 24H,End Table with Marble Top,5466-30,5466-04
48 x 26 x 20H,Cocktail Table with Lift Top on Casters,3587-30,3587-30
24 x 22 x 24H,End Table with Functional Drawer,3587-30,3587-04
48 x 28 x 20.5H,Cocktail Table with Lift Top and Two Functional Drawers on Casters,3581-30,3581-30
24 x 24 x 24H,End Table with Functional Drawer,3581-30,3581-04
48 x 26 x 18H,Cocktail Table with Lift Top and Functional Drawer on Casters,3256RF-30,3256RF-30
22 x 24 x 22H,End Table with Functional Drawer,3256RF-30,3256RF-04
14 x 24 x 24H,Chairside Table,3256RF-30,3256RF-02
50 x 28 x 20H,Cocktail Table with Lift Top on Casters,3257RF-30,3257RF-30
24 x 27 x 24H,End Table with Functional Drawer,3257RF-30,3257RF-04
18 x 24 x 24H,Chairside Table with Functional Drawer,3257RF-30,3257RF-02
47.75 x 26 x 17.75H,Cocktail Table with Lift Top and Storage,3533-30,3533-30
21 x 26 x 24H,End Table with Functional Drawer,3533-30,3533-04
47.75 x 16 x 30H,Sofa Table with Functional Drawer,3533-30,3533-05
47 x 23 x 18.5H,Cocktail Table with Lift Top on Casters,3588-30,3588-30
21.25 x 21.25 x 22.5H,End Table,3588-30,3588-04
21.75 x 21.75 x 20.25H," Ottoman, Beige ",4690-F2,4690-F2
21.75 x 21.75 x 20.25H," Ottoman, Indigo ",4690-F2,4690-F3
21.75 x 21.75 x 20.25H," Ottoman, Dark Grey ",4690-F2,4690-F4
52 x 30 x 20H, Cocktail Table with Marble Top ,8412-30,8412-30
28 x 26 x 24H, End Table with Marble Top ,8412-30,8412-04
50 x 26 x 19H,Cocktail Table,5177-30,5177-30
26 x 24 x 24H,End Table,5177-30,5177-04
50 x 18.5 x 30H,Sofa Table,5177-30,5177-05
50 x 26 x 19H,Cocktail Table,5100-30,5100-30
26 x 24 x 24H,End Table,5100-30,5100-04
50 x 18.5 x 30H,Sofa Table,5100-30,5100-05
54 x 34 x 20H, Cocktail Table with Marble Top ,3526-30,3526-30
28 x 28 x 24H, End Table with Marble Top ,3526-30,3526-04
56 x 20 x 32H, Sofa Table with Marble Top ,3526-30,3526-05
52 x 26 x 18.5H, Cocktail Table with 2 Functional Drawers ,3522-30,3522-30
26 Dia x 24.5H, Round End Table with Glass Top ,3522-30,3522-04
50 x 19 x 29.5H, Sofa Table with Glass Top ,3522-30,3522-05
29 x 14.5 x 71H,Bookcase with Lighting,3522-30,3522-12
47.75 x 23.75 x 18H,Cocktail Table,3224N-30,3224N-30
23.75 x 21.75 x 24H,End Table,3224N-30,3224N-04
50 x 18 x 30H,Sofa Table / TV Stand,3224N-30,3224N-05
26 x 15 x 74H,"26"" W Bookcase",3224N-30,3224N-16
40 x 18 x 72H,"40"" W Bookcase",3224N-30,3224N-17
48 x 28 x 19H,Oval Cocktail Table,2615DC-30,2615DC-30
28 Dia x 24.5H,Round End Table,2615DC-30,2615DC-04
48 x 18 x 30H,Sofa Table,2615DC-30,2615DC-05RT
48 x 28 x 19H,Cocktail Table,2615DC-30RT,2615DC-30RT
28 x 24 x 24.5H,End Table,2615DC-30RT,2615DC-04RT
48 x 18 x 30H,Sofa Table,2615DC-30RT,2615DC-05RT
50 x 18 x 30H,Sofa Table / TV Stand,3224N-05,3224N-05
26 x 15 x 74H,"26"" W Bookcase",3224N-05,3224N-16
40 x 18 x 72H,"40"" W Bookcase",3224N-05,3224N-17
47.75 x 23.75 x 18H,Cocktail Table,3224N-05,3224N-30
36 x 36 x 17H,Cocktail Table with All Glass,17809,17809
26 x 26 x 20H,End Table with All Glass,17809,17807
51.75 x 32 x 18H,Cocktail Table with Glass Insert,3508-30,3508-30
31 x 27 x 24H,End Table with Glass Insert,3508-30,3508-04
51.75 x 23.75 x 31H,Sofa Table with Glass Insert,3508-30,3508-05
48 x 24 x 19H,Cocktail Table with Lift Top and Faux Marble Top,3447-30,3447-30
22 x 22 x 23H,End Table with Faux Marble Top,3447-30,3447-04
50 x 26 x 17H,Cocktail Table,3436-30,3436-30
28 x 24 x 21H,End Table,3436-30,3436-04
54 x 30 x 18.25H,Cocktail Table with Glass Insert,3427-30,3427-30
26 x 20 x 25H,End Table with Glass Insert,3427-30,3427-04
54 x 18 x 35.25H,Sofa Table with Glass Insert,3427-30,3427-05
48 x 28 x 20H,Cocktail Table,2135-30,2135-30
26 x 26 x 26H,End Table,2135-30,2135-04
48 x 19 x 30H,Sofa Table,2135-30,2135-05
47 x 31 x 16.5H,Cocktail Table with Functional Wheels,3228-30,3228-30
24 x 22 x 23H,End Table,3228-30,3228-04
62 x 18 x 30H,Sofa Table / TV Stand,3228-30,3228-05
26 x 15 x 74.5H,Bookcase,3228-30,3228-12
36 Dia x 20.5H,Gas Lift Table,3217PU,3217PU
16.25 x 16.25 x 17.5H,4pc Ottoman Pack with Storage,3217PU,3217PUS
38 x 36 x 20H,Cocktail Table with Faux Marble Top,3226-30,3226-30
16 x 26 x 25H,End Table with Faux Marble Top,3226-30,3226-04
48 x 18 x 30H,Sofa Table with Faux Marble Top,3226-30,3226-05
50 x 30 x 20H,Cocktail Table with Marble Top,5560-30,5560-30
26 x 26 x 26H,End Table with Marble Top,5560-30,5560-04
50 x 19 x 30H,Sofa Table with Marble Top,5560-30,5560-05
48 x 30 x 18H,Cocktail Table,2111-30,2111-30
24 x 24 x 24H,End Table,2111-30,2111-04
48 x 18 x 29.5H,Sofa Table,2111-30,2111-15
48 x 30 x 18H,Cocktail Table with Glass Top,3401W-30,3401W-30
26 Dia x 22.25H,Round End Table with Glass Top,3401W-30,3401W-04
48 x 18 x 30H,Sofa Table with Glass Top,3401W-30,3401W-05
36 x 40 x 15H,Cocktail Table with Glass Top,3205-30,3205-30
26 Dia x 22H,Round End Table with Glass Top,3205-30,3205-04
,"3-Piece Occasional Tables 
Cocktail Table:  48 x 24 x 20H 
End Table:  24 x 24 x 26H ",3216B-31,3216B-31
48 x 20 x 31H,Sofa Table,3216B-31,3216B-05
48 x 28 x 20H,Cocktail Table with Faux Marble Inlay,3276-30,3276-30
24 x 24 x 24H,End Table with Faux Marble Inlay,3276-30,3276-04
48 x 18 x 29H,Sofa Table with Faux Marble Inlay,3276-30,3276-05
39.5 Dia x 20H,Round Cocktail Table,5553-01,5553-01
25.5 Dia x 25.5H,Round End Table,5553-01,5553-04
49.5 x 19.5 x 29.5H,Sofa Table,5553-01,5553-05
50 x 28 x 20H,Cocktail Table with Marble Top,5543-30,5543-30
28 x 28 x 25H,End Table with Marble Top,5543-30,5543-04
50 x 20 x 30H,Sofa Table with Marble Top,5543-30,5543-05
51 x 51 x 21H,Cocktail Table with Marble Top,251-01,251-01
38 x 38 x 27H,End Table with Marble Top,251-01,251-04
58 x 26.5 x 36.5H,Sofa Table with Marble Top,251-01,251-05
52 x 28 x 18.5H,Cocktail Table with Glass Top,710-30,710-30
30 Dia x 21H,Round End Table with Glass Top,710-30,710-04
50 x 19 x 28H,Sofa Table with Glass Top,710-30,710-05
50 x 30 x 20H,Cocktail Table with Two Functional Drawers,5554-30,5554-30
26 x 26 x 26H,End Table with Functional Drawer,5554-30,5554-04
50 x 19 x 30H,Sofa Table with Functional Drawer,5554-30,5554-05
54 x 30 x 20H,Cocktail Table with Three Functional Drawers,1390-30,1390-30
26 x 28 x 24H,End Table with Functional Drawer,1390-30,1390-04
54 x 18 x 30H,Sofa Table with Three Functional Drawers,1390-30,1390-05
40 Dia x 19H,Round Cocktail Table with Four Ottomans,3292-01,3292-01
23 Dia x 22.5H,Round End Table,3292-01,3292-04
50 x 18 x 30H,Console Table with Stool,3292-01,3292-05
52 x 32 x 20H,Cocktail Table with Two Functional Drawers,1394-30,1394-30
26 x 28 x 24H,End Table with Functional Drawer,1394-30,1394-04
52 x 19 x 29H,Sofa Table with Two Functional Drawers,1394-30,1394-05
50 x 30 x 19H,Cocktail Table with Glass Insert,1288-301,1288-301
28 x 24 x 25H,End Table with Glass Insert,1288-301,1288-305
54 x 19 x 29H,Sofa Table with Glass Insert,1288-301,1288-307
50 x 32 x 19H,Cocktail Table with Glass Insert,5556-30,5556-30
26 Dia x 25.75H,Round End Table with Glass Insert,5556-30,5556-04
50 x 20 x 30H,Sofa Table with Glass Insert,5556-30,5556-05
40 Dia x 19H,Round Cocktail Table with Four Ottomans,3219PU-01,3219PU-01
40 Dia x 19H,Round Cocktail Table with Two Ottomans,3219PU-01,3219PU-01SH
50 x 30 x 19H,Rectangular Cocktail Table with Two Ottomans,3219PU-01,3219PU-30
23 Dia x 22.5H,Round End Table,3219PU-01,3219-04
50 x 18 x 30H,Console Table with Stool,3219PU-01,3219-05
52 x 30 x 18H,Cocktail Table with Mirror Top,3295-30,3295-30
26 x 22 x 24H,End Table with Mirror Top and Functional Drawer,3295-30,3295-04
50 x 18 x 30H,Sofa Table with Mirror Top and Functional Drawer,3295-30,3295-05
40 Dia x 19H,Round Cocktail Table with Glass Insert,5558-01,5558-01
26 Dia x 25.75H,Round End Table,5558-01,5558-04
50 x 20 x 30H,Sofa Table,5558-01,5558-05
42 x 42 x 20H,Cocktail Table with Glass Insert,3299-01,3299-01
26 x 26 x 24H,End Table with Glass Insert,3299-01,3299-04
50 x 18 x 30H,Sofa Table with Glass Insert,3299-01,3299-05
17 x 17 x 17.5H," Storage Cube Ottoman,Black Bi-Cast Vinyl ",4723,4723BK
17 x 17 x 17.5H," Storage Cube Ottoman,Blue Bi-Cast Vinyl ",4723,4723BL
17 x 17 x 17.5H," Storage Cube Ottoman,Brown Bi-Cast Vinyl ",4723,4723BR
17 x 17 x 17.5H," Storage Cube Ottoman,Green Bi-Cast Vinyl ",4723,4723GR
17 x 17 x 17.5H," Storage Cube Ottoman,Red Bi-Cast Vinyl ",4723,4723RD
17 x 17 x 17.5H," Storage Cube Ottoman,Orange Bi-Cast Vinyl ",4723,4723RN
17 x 17 x 17.5H," Storage Cube Ottoman,White Bi-Cast Vinyl ",4723,4723WT
," 3-Piece Occasional Tables 
Cocktail Table:  48 Ã 24 Ã 18H 
End Table::  22 Ã 22 Ã 22H ",5512-31,5512-31
," 3-Piece Occasional Tables with Glass Top 
Cocktail Table:  48 Ã 24 Ã 16.5H 
End Table::  24 Ã 24 Ã 21.25H ",3605-31,3605-31
," 3-Piece Occasional Tables with Glass Top 
Cocktail Table:  48 Ã 24 Ã 19H 
End Table::  24 Ã 24 Ã 24H ",3604-31,3604-31
47 x 24 x 17H,Cocktail Table,8219-30,8219-30
," 3-Piece Occasional Tables 
Cocktail Table:  48 x 24 x 18H 
End Table:  24 x 22 x 22H ",3559-31,3559-31
," 3-Piece Occasional Tables with Faux Marble Top 
Cocktail Table:  48 x 24 x 18H 
End Table:  22 x 20 x 21H ",3580-31,3580-31
," 3-Piece Occasional Tables 
Cocktail Table:  47.5 x 23.5 x 18H 
End Table:  23.5 x 23.5 x 24H ",3560-31,3560-31
," 3-Piece Occasional Tables with Glass Top 
Cocktail Table:  48 x 32 x 20H 
End Table:  26 Dia x 24H ",3561-31,3561-31
37 x 28 x 20H,Ottoman,8477-4,8477-4
38 x 38 x 19.25H,Ottoman,8335-4,8335-4
36.25 x 36.25 x 18.25H,Ottoman,8324-4,8324-4
48 x 24.25 x 29.5H,Writing Desk with Functional Wheels,3568-15,3568-15
47.25 x 23.5 x 29.5H,Writing Desk with Two Drawers,5264-15,5264-15
," 3-Piece Occasional Tables with Melamine Top and Shelf 
Cocktail Table with Shelf:  46 x 23 x 18H 
End Table with Shelf:  22 x 22 x 20H ",8007-31SF,8007-31SF
," 3-Piece Occasional Tables with Melamine Top 
Cocktail Table:  46 x 23 x 18H 
End Table:  22 x 22 x 20H ",8007-31,8007-31
," 3-Piece Occasional Tables with Faux Marble Top 
Cocktail Table:  48 x 24 x 18H 
End Table:  22 x 22 x 22H ",5178-31,5178-31
44.5 x 19 x 18.75H,Lift Top Storage Bench,4741FA,4741FA
," 3-Piece Occasional Tables with Faux Marble Top 
Cocktail Table:  48 x 24 x 18H 
End Table:  24 x 23 x 24H ",3515-31,3515-31
29 x 14.5 x 71H,Bookcase with Lighting,3522-12,3522-12
18 x 14 x 36H, Iron 6-Drawer Chest ,6488,6488
20 x 14 x 30H,Wooden Cabinet,6478,6478
24 Dia x 20H," Iron Lift-Top Table, Solid Wood Top ",6472,6472
36 x 14 x 28H,6-Drawer Cabinet,6469,6469
40 x 15 x 33H, Cabinet with Casters ,6468,6468
47 x 20 x 34H, Iron Kitchen Cart with Functional Wheels ,6411,6411
40 x 18 x 72H,"40"" W Bookcase",3224N-17,3224N-17
26 x 15 x 74H,"26"" W Bookcase",3224N-16,3224N-16
20 Dia x 26H," Round End Table, Glass Insert ",4662,4662
20 Dia x 26H," Round End Table, Glass Insert ",4663,4663
44.75 x 16.75 x 18.25H,Lift Top Storage Bench,4602PU,4602PU
50.75 x 20.25 x 18.5H,Lift Top Storage Bench,4603PU,4603PU
35 x 35 x 18H,Iron Cocktail Table with Wheels,6409,6409
47.5 x 25 x 18H, Lift-Top Cocktail Table with Two Functional Drawers on Casters ,4503PU,4503PU
42 x 42 x 18H,Lift Top Storage Cocktail Ottoman,4727PU,4727PU
36 x 36 x 17H," Cocktail Ottoman with Casters,Chocolate Textured Plush Microfiber ",468CP,468CP
," 3-Piece Occasional Tables 
Cocktail Table:  44 x 23.5 x 16H 
End Table::  20 x 20 x 22H ",3489-31,3489-31
," 3-Piece Occasional Tables with Faux Marble Top 
Cocktail Table:  48 x 24 x 16H 
End Table::  22 x 20 x 21H ",2601-31,2601-31
45 x 17 x 18H,Storage Bench with 2 Ottomans,4738PU,4738PU
36.25 x 36.25 x 18H,Cocktail Ottoman with Flip Trays on Casters,4732PU,4732PU
24 x 16 x 23.5H,"Wedged Chairside Table, Oak",4728AK,4728AK
24 x 16 x 23.5H,"Wedged Chairside Table, Black",4728BK,4728BK
24 x 16 x 23.5H,"Wedged Chairside Table, Espresso",4728ES,4728ES
36 x 36 x 17H," Cocktail Ottoman with Casters, Dark Brown Bi-Cast Vinyl ",468PU,468PU
35 x 17.5 x 17.5H,Storage Bench,469PU,469PU
