number,group_number,group_name,description,dimensions,price
5447-29FAS,5447-29FAS,Bayshore Collection ,Swivel Pub Height Stool,20.5 x 23 x 44.5H,85.0
2615DC-40,2615DC-36,Marston Collection ,Server,58 x 19 x 39H,422.0
5873N-BH,1706-1,Moritz Collection ,Bench,49.5 x 20 x 18.5H,131.0
5178-60,5178-60,Watt Collection,Dining Table,36 x 60 x 30H,151.0
4732PU,4732PU,Fleming Collection,Cocktail Ottoman with Flip Trays on Casters,36.25 x 36.25 x 18H,188.0
2615KDC-1CK,2615DC-1,Marston Collection , California King Sleigh Platform Bed with Footboard Storages ,HB: 58H FB: 20.75H,698.0
1393BK-36,1393BK-36,Ohana Collection ,Counter Height Table,54 x 36 – 54 x 36H,246.0
5177-54,5177-54,Beaugrand Collection ,Round Dining Table,53.5 Dia x 30H,313.0
2147TW-1*,2147TW,Mayville Collection ,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,125.0
5179-40,5179-90,Urbana Collection ,Server,56 x 18 x 36.5H,387.0
2169-4,2169SL-1,Hillcrest Manor Collection ,Night Stand with Marble Inset,34 x 21 x 30H,268.0
2147SG-4,2147TSG,Mayville Collection ,Night Stand,21.5 x 15.75 x 23.75H,64.0
1916BK-15*,1916BK-1,Allura Collection ,Vanity Dresser with Mirror,64 x 16.75 x 66.5H,417.0
5167-50*,5167-96,Yates Collection ,Buffet & Hutch,58.5 x 19.5 x 80H,900.0
2615DC-40,2615DC-72,Marston Collection ,Server,58 x 19 x 39H,422.0
2546-40*,2546-96,Keegan Collection ,Server,56.25 x 17.5 x 36H,542.0
2220T-1*,2220-1,Lorenzi Collection ,Twin Platform Bed,HB: 44.5H FB: 13.5H,105.0
2615DC-50*,2615DC-36,Marston Collection ,Buffet & Hutch,60 x 19 x 80.25H,825.0
5039S,5039-48,Ahmet Collection ,Side Chair,17.5 x 23.5 x 35.75H,38.0
1919KNC-1CK*,1919NC-1*,Antoinetta Collection,California King bed,HB: 74H  FB: 35.75H,968.0
2615DC-50*,2615DC-72,Marston Collection ,Buffet & Hutch,60 x 19 x 80.25H,825.0
5302A-18,5302A,Saddleback Collection ,"Stool, RTA, 18""H, Oak",18 x 9 x 18H,20.0
1604-4,1604-1*,Urbanite Collection,Night Stand,23.75 x 17.75 x 23.5H,115.0
2147KW-1CK,2147W-1,Mayville Collection ,California King Sleigh Bed,HB: 47.25H FB: 26.5H,210.0
8490-RC,8490,Columbus Collection ,"Right Side Chaise, Push Back Recliner",39 x 65 x 40H,315.0
9724BLK-2,9724BLK,Marille Collection ,Double Glider Reclining Love Seat with Center Console,77 x 38.5 x 39.5H,466.0
1297GY-1,1297GY-1,Grazioso,Accent Chair,29.25 x 30.5 x 36H,148.0
5177-84,5177-84,Beaugrand Collection ,Dining Table,40 x 84 x 30H,375.0
5425-40,5425-36,Benwick Collection ,Server,54 x 18 x 40H,371.0
8327BLK-CR,8327BLK-CR,Deryn Collection ,Corner Seat,34.75 x 34.75 x 37H,198.0
1718KGY-1CK,1718GY-1,Begonia Collection ,California King Platform Bed with Footboard Storages,HB: 57H FB: 21.5H,519.0
5177S,5177-84,Beaugrand Collection ,Side Chair,21.75 x 22.25 x 36.5H,79.0
5167FS,5167-96,Yates Collection ,Side Chair,21 x 23 x 41H,73.0
