id,number,price,product_id
12587,5447-29FAS,75,3422
12172,2615DC-40,349,3299
12875,5873N-BH,109,3486
12195,5178-60,135,3305
15011,4732PU,159,4191
13151,2615KDC-1CK,549,3526
12505,1393BK-36,209,3397
12200,5177-54,259,3307
14474,2147TW-1*,119,3897
12194,5179-40,329,3304
13371,2169-4,255,3558
14450,2147SG-4,59,3893
12791,1916BK-15*,365,3475
12204,5167-50*,725,3308
12179,2615DC-40,349,3300
12351,2546-40*,289,3350
12942,2220T-1*,75,3498
12171,2615DC-50*,669,3299
12273,5039S,30,3327
15713,1919KNC-1CK*,699,4401
12178,2615DC-50*,669,3300
12473,5302A-18,20,3386
15679,1604-4,99,4396
13302,2147KW-1CK,185,3549
13991,8490-RC,218,3704
14172,9724BLK-2,329,3758
15138,1297GY-1,115,4276
12198,5177-84,309,3306
12165,5425-40,249,3297
13725,8327BLK-CR,122,3632
12829,1718KGY-1CK,379,3481
12199,5177S,60,3306
12203,5167FS,60,3308
15195,1766-6,62,4285
15194,1766-5,249,4285
12551,1372-36,209,3411
14998,1191F3S,67,4178
12724,1958-15*,425,3466
15024,5415RF-16*,160,4203
12796,1909RF-1*,219,3476
12015,5489-36*,109,3255
12557,710-36RD*,207,3413
15023,5415RF-15*,289,4203
15025,5415RF-17*,299,4203
11980,5515GY,65,3243
14026,8325BLK-2,329,3711
14456,B1799*,399,3894
14423,1856-9,110,3888
13841,8212-CN,55,3668
14993,468CP,129,4173
12604,2469,195,3439
15026,5415RF-18,165,4203
15050,3228-12,135,4218
13663,8202CH-3,139,3610
12464,5302C,125,3384
15166,1730GY-5,199,4281
13455,2124-5,269,3568
11974,5517-40,319,3241
13230,1852-5,246,3539
14091,8411-2RCN,255,3732
12493,3270-48,109,3393
13842,8212-CR,185,3668
14250,1270F1S,129,3817
12155,5400S,45,3295
14314,B2053W-T,37,3865
14090,8411-2R,215,3732
12018,5491A,49,3256
12965,1915K-1CK,279,3501
13853,8490FBR-AC,115,3670
12347,2546-96,249,3350
12726,1957K-1CK,329,3467
12201,5177S,60,3307
12279,5034REDS,38,3329
13032,1927-5,349,3509
13652,8226GY-4,75,3605
15238,1916GY-1*,299,4291
12196,5178BRS,36,3305
15184,1762K-1EK*,279,4284
12272,5039-48,55,3327
14654,5428-05,179,3954
15185,1762-1*,199,4284
14115,9669FCP-CN,52,3740
13569,1385F-1*,289,3584
12864,1707-5,299,3485
14326,B2013DC-9,109,3867
12030,5479S,49,3260
12287,17813*,174,3331
12535,586-13,60,3406
12650,5415RF-1*,239,3457
14319,B2053W-1*,179,3866
12182,5473S,55,3301
12653,5415RF-6,73,3457
13196,1890KN-1EK*,149,3534
11951,5531A,100,3235
11971,5518-40,279,3240
12335,2601-48,39,3345
12567,710WS,52,3415
12870,1706F-1*,199,3486
12868,1706K-1EK*,259,3486
12029,5479-72*,379,3260
12595,5103,209,3430
13561,1349T-1*,179,3583
14228,8215GY-1,119,3795
12267,5035WHT-29,32,3324
11970,5518S,40,3240
12869,1706-1*,199,3486
14503,B2013DC-1*,179,3903
12603,2505BK-36,169,3438
12266,5035WHT-24,28,3324
12729,1957-4,109,3467
12345,2547-72,135,3349
11952,5531S,90,3235
12716,1961-9,119,3465
12064,1947-96,279,3269
14431,2145F-1*,99,3890
15209,1769-6,52,4287
11957,5530-50,349,3236
12268,2601-36,59,3325
11981,5515GYS,21,3243
14452,2147SG-6,33,3893
13021,1907K-1CK,349,3508
13850,8238-LR,149,3669
11955,5530A,59,3236
11962,5525-72,229,3238
11956,5530S,50,3236
11954,5530-78*,249,3236
11972,5517-78*,263,3241
12592,5275,119,3427
11960,5525DG-24BH,109,3237
12039,5456,139,3262
12003,5496-13,55,3251
12043,5431-24BH,119,3263
12031,5479-14*,145,3260
12047,5328-40,299,3264
15168,1730GY-9,189,4281
12036,5478-13*,115,3261
14194,9700BRW-1,179,3767
12034,5478-72*,339,3261
11997,5544-72,249,3250
12647,5438-9,199,3456
12041,5431-36,233,3263
12020,5488-24,32,3257
12789,1916BK-6,113,3475
12106,5285-64,125,3282
11940,5546-84,229,3231
11973,5517A,59,3241
12013,5512-66,123,3254
12012,5494-40,499,3253
12014,5512S,28,3254
12008,5494-40,499,3252
12305,2615DCA,70,3338
12011,5494S,100,3253
12035,5478S,50,3261
11967,5520-13,69,3239
11966,5520S,45,3239
12042,5431-24,49,3263
15127,2615DCS,65,3338
12265,5035WHT-18,20,3324
12044,5431-40,319,3263
12871,1706-4,99,3486
11993,5504S,45,3248
11968,5520-40,259,3239
11944,5538W*,37,3232
12001,5496-78,229,3251
12004,5496-40,329,3251
11961,5525-40,299,3237
12002,5496S,49,3251
12652,5415RF-5,309,3457
11964,5525-40,299,3238
11969,5518-78*,269,3240
12646,5438-6,42,3456
11959,5525DG-24,55,3237
11994,5504-40,369,3248
11999,5544-13,79,3250
12649,5415RFK-1EK*,329,3457
12067,1947-50*,499,3269
12337,2588-92*,367,3346
12495,3270-S1BK,45,3393
14173,9724BLK-1,205,3758
14518,1356BK-6,57,3905
13195,1890KN-1CK,149,3534
12737,1955-4,59,3468
14261,4741FA,82,3828
13673,8378BLK-4,59,3614
12080,1704-50*,1099,3272
12084,1704-50*,1099,3273
12096,5429-24ST,39,3278
14238,8211*,359,3805
12095,5429-24,49,3278
13855,8490-CN,63,3670
12092,5429-24,49,3277
13415,2147-6,26,3563
12100,586GYS,38,3280
12271,5038S,18,3326
13329,1810-6,44,3551
13640,2026PU-1HB,56,3600
14144,9636CC-1,205,3749
14270,8404DB-1,115,3837
15146,1242-1,199,4278
11986,5510-66,119,3246
13701,8225-1,139,3623
12058,5477N-40,349,3267
14205,1200BLK,149,3772
12068,1947-40,299,3269
12079,1704S,125,3272
11943,5546-55,259,3231
12489,3270-S1BK,45,3391
12081,1704-108,449,3273
12091,5429-36,129,3277
12077,1704-60,449,3272
12082,1704A,140,3273
12083,1704S,125,3273
12102,586GY-40,279,3280
15422,2220DBR-1*,85,4346
12089,5430-60,139,3276
12740,1955-9,130,3468
12186,5251-108*,337,3303
12236,1867S,120,3319
12208,5149-48*,61,3310
13310,2147W-9,125,3549
13220,1855K-1EK*,185,3538
12226,5108-40,359,3316
15323,5604-36,107,4319
12963,1904-6,36,3500
12218,5123A,83,3314
12205,5167-55,359,3308
12141,5428-84*,339,3292
11965,5520-78,239,3239
12158,5400-55,319,3295
12184,5268-48*,53,3302
12220,5123-50*,619,3314
15479,5874GY-1*,149,4359
12157,5400-50*,569,3295
12060,1958A,85,3268
12159,5400-07,349,3295
13777,8234TT-2,239,3648
13417,2147-12,119,3563
12366,2538S,34,3353
12336,2601S,15,3345
12219,5123S,73,3314
12147,5411RFS,42,3293
12189,2546-40*,229,3303
12222,5115A,56,3315
12223,5115-40,299,3315
13418,2145K-1CK,149,3564
12132,5415RF-40,299,3289
12190,2546-40M,130,3303
15351,1294GY-1,129,4329
12365,2538-60,102,3353
12134,5409S,55,3290
12148,5411RF-40,259,3293
12138,5428-S2,65,3291
15275,5162WW-36,99,4305
12071,1935S,125,3270
12135,5409RF-40,299,3290
12128,5431-40,319,3288
15450,5877KGY-1EKDW*,329,4352
12540,586-40,249,3407
12055,5477N-96,249,3267
12152,5438-40,399,3294
12235,1867A,130,3319
14145,9636CC-2,335,3749
14645,3534-05,139,3951
12682,1978W-4,199,3461
12240,1828A,125,3320
14008,8480BRW-1PW,295,3707
12070,1935A,135,3270
12303,5056-40,209,3337
12234,1867-102*,559,3319
12262,5035SVE-18,20,3324
12979,1737NGY-6,76,3502
13709,8235SS-L,133,3626
12237,1867-50*,649,3319
12212,5147BK-78,203,3312
12238,1867-40,449,3319
14169,9724BRW-2,329,3757
12275,5070-13,59,3328
13729,8327BLK-2,195,3633
12274,5070-64,211,3328
12192,5179-S2,55,3304
12242,1828-50*,569,3320
12293,5021BES,50,3333
15325,5604-40,150,4319
12309,2615DC-50*,669,3338
13031,1927-4,149,3509
13372,2169-5,519,3558
12019,5488-36RD*,137,3257
12254,1808-40,449,3322
14434,2145-6,32,3890
14662,3551-04,109,3958
12260,5035BLK-24,28,3324
12299,2617N-24,47,3336
13671,8378BLK-L,149,3614
14089,8411-2LCN,254,3732
12257,710WS,52,3323
12806,1907W-6,63,3477
12261,5035BLK-29,32,3324
12264,5035SVE-29,32,3324
12294,5048-72,195,3334
13791,8239-3,279,3653
11995,5503*,239,3249
12241,1828S,115,3320
12977,1737NGY-4,136,3502
12295,5048S,68,3334
12061,1958S,75,3268
12090,5430S,39,3276
15854,5547-36,121,4441
12325,2243S,99,3342
12339,2588-40,379,3346
12378,2526S,78,3356
12315,5052-118*,429,3340
12318,5052-50*,729,3340
12191,5179-90*,279,3304
12377,2526-96*,307,3356
15855,5547-24,32,4441
15511,5880DB-1,119,4367
12369,2529S,42,3354
12404,2456-36,213,3366
15503,5888-1*,239,4365
12665,2259GY-1*,399,3459
15453,5876KBE-1CK*,209,4353
12380,2524-24,40,3357
12548,1372-78,209,3410
12446,3217PUS,129,3377
12352,2546-40M,165,3350
12321,2243S,99,3341
13732,8244SD-2,195,3634
12383,1178RED,51,3358
12387,1156RED,37,3360
12320,2243A,105,3341
12370,2529-13,59,3354
13710,8235SS-R,144,3626
14178,9769BR-1LT,235,3761
12390,1155WHT,37,3361
15491,5875BE-1*,199,4362
12066,1947S,80,3269
12119,1915-60,89,3286
15856,5547-24BH,65,4441
12324,2243A,105,3342
15652,1744-6,62,4392
12393,1149RED,37,3362
12278,5034BUES,38,3329
15455,5876BE-1*,169,4353
12389,1155BLK,37,3361
12392,1149BLK,37,3362
12391,1155RED,37,3361
12441,5447-36*,199,3376
13874,8230BRW-3,329,3674
14461,B1799F-1*,229,3895
15262,3612-31,179,4297
15666,1729-6,92,4394
14601,4964BK-NT,99,3927
15300,5566-29RD,42,4310
12126,5431S,45,3288
12872,1706-5,249,3486
14320,B2053W-R,52,3866
14511,1349-5,239,3904
12429,2516-48*,217,3372
12685,1978W-9,349,3461
15246,292BK-1CK*,479,4292
12689,1977F-1*,199,3462
12466,5302C-24,21,3384
12426,2515S,42,3371
14509,1349F-1*,199,3904
12076,1935-50*,1199,3271
15483,5874NV-1*,149,4360
14354,2039W-6,72,3876
12481,5448-78*,279,3388
15702,1715-6,72,4399
15507,5887-1*,169,4366
13172,1869-6,76,3528
12125,5431-77*,269,3288
15505,5887K-1CK*,219,4366
13893,8480BRW-AR,110,3679
12443,5447-24FAS,72,3376
12121,1915-40,239,3286
12470,5302BK-24,21,3385
12120,1915S,44,3286
12104,5470S,45,3281
12444,5447-40,315,3376
12428,2515-50,399,3371
12412,5447-40,315,3368
15508,5887F-1*,169,4366
12474,5302A-24,21,3386
14412,1386-9,225,3886
15506,5887K-1EK*,219,4366
12065,1947A,90,3269
15665,1729-5,349,4394
12874,1706-9,229,3486
15031,5099-15,179,4205
12956,1904K-1CK,179,3500
13939,8327GY-1S,155,3691
15885,8260DB-ARPW,150,4450
12485,5445-60*,105,3390
12506,1393BK-24,47,3397
12508,1393BK-48*,173,3398
15812,1718GYS,52,4430
12845,1711K-1EK*,319,3483
12504,1393BK-50,269,3396
12507,1393BK-50,269,3397
12510,1393BK-50,269,3398
12522,727-36,189,3403
15886,8260DB-CN,50,4450
12940,2220-1*,85,3498
13171,1869-5,225,3528
15887,8260DB-CR,145,4450
15888,8260DB-LRPW,185,4450
12482,5448S,54,3388
12163,5425-36,179,3297
