dimensions,description,product_number,number
77.75 x 41.25 x 37.5H, Twin/Twin Trundle Bed with Two Storage Drawers ,B2043PR-1,B2043PR-1
23 x 17 x 21.75H,Night Stand,B2043PR-1,B2043-4
30 x 17 x 37.25H,Chest,B2043PR-1,B2043-9
96.75 x 41.25 x 63.25H, Bunk Bed with Reversible Step Storage ,B2043SB-1,B2043SB-1
74.75 x 40.5 x 10.75H,Twin Trundle,B2043SB-1,B2043-R
37.5 x 16.5 x 10.75H,Storage Boxes,B2043SB-1,B2043-T
23 x 17 x 21.75H,Night Stand,B2043SB-1,B2043-4
30 x 17 x 37.25H,Chest,B2043SB-1,B2043-9
77.75 x 57.5 x 65H,Full / Full Bunk Bed,B2043FF-1,B2043FF-1
77.75 x 57.5 x 65H,Twin / FULL Bunk Bed,B2043FF-1,B2043TF-1
77.75 x 42.5 x 65H,Twin / Twin Bunk Bed,B2043FF-1,B2043-1
74.75 x 40.5 x 10.75H,Twin Trundle,B2043FF-1,B2043-R
37.5 x 16.5 x 10.75H,Storage Boxes,B2043FF-1,B2043-T
23 x 17 x 21.75H,Night Stand,B2043FF-1,B2043-4
30 x 17 x 37.25H,Chest,B2043FF-1,B2043-9
77.75 x 41.25 x 37.5H, Twin/Twin Trundle Bed with Two Storage Drawers ,B2053PRW-1,B2053PRW-1
23 x 17 x 21.75H,Night Stand,B2053PRW-1,B2053W-4
30 x 17 x 37.25H,Chest,B2053PRW-1,B2053W-9
96.75 x 41.25 x 63.25H, Bunk Bed with Reversible Step Storage ,B2053SBW-1,B2053SBW-1
74.75 x 40.5 x 10.75H,Twin Trundle,B2053SBW-1,B2053W-R
37.5 x 16.5 x 10.75H,Storage Boxes,B2053SBW-1,B2053W-T
23 x 17 x 21.75H,Night Stand,B2053SBW-1,B2053W-4
30 x 17 x 37.25H,Chest,B2053SBW-1,B2053W-9
77.75 x 57.5 x 65H,Full / Full Bunk Bed,B2053FFW-1,B2053FFW-1
77.75 x 57.5 x 65H,Twin / FULL Bunk Bed,B2053FFW-1,B2053TFW-1
77.75 x 42.5 x 65H,Twin/Twin Bunk Bed,B2053FFW-1,B2053W-1
74.75 x 40.5 x 10.75H,Twin Trundle,B2053FFW-1,B2053W-R
37.5 x 16.5 x 10.75H,Storage Boxes,B2053FFW-1,B2053W-T
23 x 17 x 21.75H,Night Stand,B2053FFW-1,B2053W-4
30 x 17 x 37.25H,Chest,B2053FFW-1,B2053W-9
77.75 x 41.25 x 37.5H, Twin/Twin Trundle Bed with Two Storage Drawers ,B2013PRDC-1,B2013PRDC-1
23 x 17 x 21.75H,Night Stand,B2013PRDC-1,B2013DC-4
30 x 17 x 37.25H,Chest,B2013PRDC-1,B2013DC-9
96.75 x 41.25 x 63.25H, Bunk Bed with Reversible Step Storage ,B2013SBDC-1,B2013SBDC-1
74.75 x 40.5 x 10.75H,Twin Trundle,B2013SBDC-1,B2013DC-R
37.5 x 16.5 x 10.75H,Storage Boxes,B2013SBDC-1,B2013DC-T
23 x 17 x 21.75H,Night Stand,B2013SBDC-1,B2013DC-4
30 x 17 x 37.25H,Chest,B2013SBDC-1,B2013DC-9
HB: 40.5H FB: 25.75H,Full Metal Platform Bed,2052FW-1,2052FW-1
HB: 40.5H FB: 25.75H,Twin Metal Platform Bed,2052FW-1,2052TW-1
HB: 40.5H FB: 25.75H,Full Metal Platform Bed,2051FBK-1,2051FBK-1
HB: 40.5H FB: 25.75H,Twin Metal Platform Bed,2051FBK-1,2051TBK-1
HB: 35.5H FB: 24.5H,Full Metal Platform Bed,2049F-1,2049F-1
HB: 35.5H FB: 24.5H,Twin Metal Platform Bed,2049F-1,2049T-1
HB: 35.5H FB: 24.5H,Full Metal Platform Bed,2050F-1,2050F-1
HB: 35.5H FB: 24.5H,Twin Metal Platform Bed,2050F-1,2050T-1
HB: 39.5H FB: 25.75H,Full Metal Platform Bed,2048FW-1,2048FW-1
HB: 39.5H FB: 25.75H,Twin Metal Platform Bed,2048FW-1,2048TW-1
HB: 39.5H FB: 25.75H,Full Metal Platform Bed,2047FBK-1,2047FBK-1
HB: 39.5H FB: 25.75H,Twin Metal Platform Bed,2047FBK-1,2047TBK-1
HB: 52H FB: 26H,Full Bed,2039TC-1,2039FC-1
HB: 52H FB: 26H,Twin Bed,2039TC-1,2039TC-1
23.75 x 15.75 x 24H,Night Stand,2039TC-1,2039C-4
54 x 17 x 33H,Dresser,2039TC-1,2039C-5
38.25 x 2 x 42H,Mirror,2039TC-1,2039C-6
32 x 17 x 48H,Chest,2039TC-1,2039C-9
HB: 52H FB: 26H,Full Bed,2039TW-1,2039FW-1
HB: 52H FB: 26H,Twin Bed,2039TW-1,2039TW-1
